# phrase	space-separated tone-marked syllables
一〇	yī líng
一一	yī yī
一丁点儿	yī dīng diǎn er
一七	yī qī
一三	yī sān
一不做	yī bú zuò
一不扭众	yī bù niǔ zhòng
一九	yī jiǔ
一了百了	yì liǎo bǎi liǎo
一二	yī èr
一五	yī wǔ
一以当百	yī yǐ dāng bǎi
一以贯之	yī yǐ guàn zhī
一八	yī bā
一六	yī liù
一又	yī yòu
一号	yī hào
一哄而上	yì hōng ér shàng
一哥	yī gē
一唱一和	yí chàng yí hè
一四	yī sì
一字决	yī zì jué
一字马	yī zì mǎ
一季度	yī jì dù
一年级	yī nián jí
一念之差	yí niàn zhī chā
一担水	yí dàn shuǐ
一日三省	yí rì sān xǐng
一是一	yī shì yī
一晃	yì huǎng
一更更	yì gēng gēng
一月	yī yuè
一月一	yī yuè yī
一来二去	yī lái èr qù
一楼	yī lóu
一模一样	yì mú yí yàng
一次方	yī cì fāng
一笑了之	yí xiào liǎo zhī
一等	yī děng
一级	yī jí
一行不行	yì háng bù xíng
一觉	yí jiào
一语中的	yì yǔ zhòng dì
一走了之	yì zǒu liǎo zhī
一路公交	yī lù gōng jiāo
一路巴士	yī lù bā shì
一路汽车	yī lù qì chē
一还一报	yì huán yí bào
一重山	yì chóng shān
一阳指	yī yáng zhǐ
一零	yī líng
一饼	yī bǐng
一鳞半爪	yì lín bàn zhǎo
丁一卯二	dīng yī mǎo èr
丁一确二	dīng yī què èr
丁点儿	dīng diǎn er
七一	qī yī
万一	wàn yī
万不失一	wàn bù shī yī
万乘	wàn shèng
万无失一	wàn wú shī yī
万贯家私	wàn guàn jiā sī
丈夫	zhàng fu
三一	sān yī
三人为众	sān rén wèi zhòng
三差两错	sān chā liǎng cuò
三座大山	sān zuò dà shān
三战三北	sān zhàn sān běi
三灾八难	sān zāi bā nàn
三瓦两舍	sān wǎ liǎng shě
三藏	sān zàng
三连冠	sān lián guàn
上头	shàng tóu
上将	shàng jiàng
上当	shàng dàng
上当学乖	shàng dàng xué guāi
下不为例	xià bù wéi lì
下切	xià qiē
下处	xià chǔ
下载	xià zài
不一而三	bù yī ér sān
不一而止	bù yī ér zhǐ
不为人知	bù wéi rén zhī
不为已甚	bù wéi yǐ shèn
不为瓦全	bù wéi wǎ quán
不了	bù liǎo
不了而了	bù liǎo ér liǎo
不可揆度	bù kě kuí duó
不可收拾	bù kě shōu shi
不可胜数	bù kě shèng shǔ
不在乎	bú zài hu
不差什么	bú chà shén me
不差累黍	bù chā lěi shǔ
不幸而言中	bú xìng ér yán zhòng
不当不正	bù dāng bú zhèng
不当人子	bù dāng rén zǐ
不徇私情	bú xùn sī qíng
不得了	bù dé liǎo
不拘形迹	bù jū xíng jī
不更事	bù gēng shì
不相为谋	bù xiāng wéi móu
不省人事	bù xǐng rén shì
不着疼热	bù zhuó téng rè
不着边际	bù zhuó biān jì
不知薡蕫	bù zhī dǐng dǒng
不破不立	bú pò bú lì
不禁	bù jīn
不能赞一	bù néng zàn yī
不行	bù xíng
不识抬举	bù shí tái ju
不贪为宝	bù tān wéi bǎo
不越雷池	bú yuè léi chí
不足为凭	bù zú wéi píng
不足为奇	bù zú wéi qí
不足为怪	bù zú wéi guài
不足为意	bù zú wéi yì
不足为据	bù zú wéi jù
不足为法	bù zú wéi fǎ
不足为训	bù zú wéi xùn
不足齿数	bù zú chǐ shǔ
不遑启处	bù huáng qǐ chǔ
与世沉浮	yǔ shì chén fú
与会	yù huì
与时消息	yǔ shí xiāo xi
与民更始	yǔ mín gēng shǐ
丑角	chǒu jué
专一	zhuān yī
专横	zhuān hèng
且住为佳	qiě zhù wéi jiā
东家西舍	dōng jiā xī shè
东扯西拽	dōng chě xī zhuāi
东莞	dōng guǎn
东躲西藏	dōng duǒ xī cáng
东都	dōng dū
东量西折	dōng liàng xī shé
东阿	dōng ē
东鳞西爪	dōng lín xī zhǎo
东鸣西应	dōng míng xī yīng
丝恩发怨	sī ēn fà yuàn
丞相	chéng xiàng
丢三落四	diū sān là sì
丢卒保车	diū zú bǎo jū
丧乱	sāng luàn
丧事	sāng shì
丧服	sāng fú
丧礼	sāng lǐ
丧葬	sāng zàng
丧钟	sāng zhōng
丧魂落魄	sàng hún luò pò
个头儿	gè tóu er
个子	gè zi
丫头	yā tou
中奖	zhòng jiǎng
中将	zhōng jiàng
中弹	zhòng dàn
中意	zhòng yì
中标	zhòng biāo
中毒	zhòng dú
中肯	zhòng kěn
中行	zhōng háng
中计	zhòng jì
中郎将	zhōng láng jiàng
中都	zhōng dū
中风	zhòng fēng
丰屋蔀家	fēng wū bù jiā
临帖	lín tiè
临敌易将	lín dí yì jiàng
临深履薄	lín shēn lǚ bó
丸子	wán zi
丹参	dān shēn
为主	wéi zhǔ
为人师表	wéi rén shī biǎo
为什么	wèi shén me
为仁不富	wéi rén bú fù
为伍	wéi wǔ
为例	wéi lì
为准	wéi zhǔn
为善最乐	wéi shàn zuì lè
为好成歉	wéi hǎo chéng qiàn
为害	wéi hài
为富不仁	wéi fù bù rén
为山止篑	wéi shān zhǐ kuì
为德不卒	wéi dé bù zú
为所欲为	wéi suǒ yù wéi
为政	wéi zhèng
为数	wéi shù
为时已晚	wéi shí yǐ wǎn
为时过早	wéi shí guò zǎo
为期	wéi qī
为止	wéi zhǐ
为民父母	wéi mín fù mǔ
为生	wéi shēng
为虺弗摧	wéi huǐ fú cuī
为裘为箕	wéi qiú wéi jī
为难	wéi nán
为非作恶	wéi fēi zuò è
为非作歹	wéi fēi zuò dǎi
为首	wéi shǒu
为鬼为蜮	wéi guǐ wéi yù
主将	zhǔ jiàng
主干	zhǔ gàn
主角	zhǔ jué
主调	zhǔ diào
丽水	lí shuǐ
举一反三	jǔ yī fǎn sān
举世混浊	jǔ shì hún zhuó
举手相庆	jǔ shǒu xiāng qìng
久要不忘	jiǔ yāo bú wàng
义薄云天	yì bó yún tiān
之一	zhī yī
乌拉	wū lā
乐善好施	lè shàn hào shī
乐器	yuè qì
乐团	yuè tuán
乐坛	yuè tán
乐子	lè zi
乐山乐水	lè shān lè shuǐ
乐工	yuè gōng
乐师	yuè shī
乐府	yuè fǔ
乐律	yuè lǜ
乐曲	yuè qǔ
乐歌	yuè gē
乐池	yuè chí
乐理	yuè lǐ
乐章	yuè zhāng
乐舞	yuè wǔ
乐谱	yuè pǔ
乐队	yuè duì
乐音	yuè yīn
乔装打扮	qiáo zhuāng dǎ bàn
乘兴	chéng xìng
乜斜	miē xie
九一	jiǔ yī
九曲	jiǔ qū
九蒸三熯	jiǔ zhēng sān hàn
九转功成	jiǔ zhuǎn gōng chéng
习焉不察	xí yān bù chá
书缺有间	shū quē yǒu jiàn
买得起	mǎi de qǐ
买椟还珠	mǎi dú huán zhū
乱哄哄	luàn hōng hōng
乳臭未干	rǔ xiù wèi gān
了不可见	liǎo bù kě jiàn
了不起	liǎo bù qǐ
了不长进	liǎo bù zhǎng jìn
了了	liǎo liǎo
了事	liǎo shì
了却	liǎo què
了如指掌	liǎo rú zhǐ zhǎng
了得	liǎo dé
了悟	liǎo wù
了断	liǎo duàn
了无惧色	liǎo wú jù sè
了无生机	liǎo wú shēng jī
了望台	liào wàng tái
了然	liǎo rán
了然无闻	liǎo rán wú wén
了结	liǎo jié
了若指掌	liǎo ruò zhǐ zhǎng
了解	liǎo jiě
了身达命	liǎo shēn dá mìng
予取予求	yú qǔ yú qiú
予智予雄	yú zhì yú xióng
事假	shì jià
事后诸葛亮	shì hòu zhū gě liàng
二一	èr yī
二人转	èr rén zhuàn
二十八宿	èr shí bā xiù
二竖为虐	èr shù wéi nüè
于今为烈	yú jīn wéi liè
于家为国	yú jiā wéi guó
亏得	kuī dé
云舒霞卷	yún shū xiá juǎn
云量	yún liàng
互为因果	hù wéi yīn guǒ
互为表里	hù wéi biǎo lǐ
五一	wǔ yī
五侯七贵	wǔ hóu qī guì
五侯蜡烛	wǔ hòu là zhú
五石六鹢	wǔ shí liù yì
五羖大夫	wǔ gǔ dà fū
五脊六兽	wǔ jǐ liù shòu
五色相宣	wǔ sè xiāng xuān
